,run,orbSize,simTicks,hostSeconds,numPackets,avgReadLatency,avgWriteLatency,readBW,writeBW,numHits,numMisses,numRdHits,numWrHits,numRdMisses,numWrMisses,numColdMisses,numHotMisses,numWrBacks,totNumConf,totNumConfBufFull,timeInDramRead,timeInDramWrite,timeInWaitingToIssueNvmRead,timeInNvmRead,timeInNvmWrite,drRdQingTime,drWrQingTime,nvmRdQingTime,nvmWrQingTime,drRdDevTime,drWrDevTime,nvRdDevTime,nvWrDevTime,totNumPktsDrRd,totNumPktsDrWr,totNumPktsNvmRdWait,totNumPktsNvmRd,totNumPktsNvmWr,maxNumConf,maxDrRdEvQ,maxDrRdRespEvQ,maxDrWrEvQ,maxNvRdIssEvQ,maxNvRdEvQ,maxNvRdRespEvQ,maxNvWrEvQ,dram.avgRdBW,dram.avgWrBW,dram.peakBW,dram.busUtil,dram.busUtilRead,dram.busUtilWrite,nvm.avgRdBW,nvm.avgWrBW,nvm.peakBW,nvm.busUtil,nvm.busUtilRead,nvm.busUtilWrite,dram.avgBusLat,nvm.avgBusLat,totBW,ARL,AWL,totBusUtil%,avgDramRdQingTime,avgDramWrQingTime,avgNvmRdQingTime,avgNvmWrQingTime,missRatio,HitRatio
76,ddr4 12 L RO Hit,1024,1000000002470,5150.49,285561057,3605343.403473,nan,18275841618.858673,0,285297888,262145,285297888,0,262145,0,262145,0,0,3435,3155,1022655678566079,12034695744,39783927919,65368754305,0,1017660662468843,7449255404,100567241884,0,4995016097236,4585440340,4585440340,0,285560033,262145,249626,249626,0,32,1024,14,272,25,64,14,0,18275.842899,16.777280,19207.00,95.24,95.15,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,18.275841618858674,3605.343403473,,95.33,3563.736324644713,28.416545820061415,402.8716635446628,,0.09179998237644847,99.90784142531032
77,ddr4 12 L RO Miss,1,1000000025229,43.75,9864026,218861.275744,nan,631297520.072995,0,0,9864025,0,0,9864025,0,262144,9601882,0,4,0,419119158912,185968122260,369901500000,172551389325,0,246577633612,13426596960,369911364025,0,172541525300,172541525300,172541525300,0,9864025,9864025,2466010,2466010,0,1,1,1,1,1,1,1,0,631.297648,631.297584,19207.00,6.57,3.29,3.29,631.30,0.00,19207.00,3.29,3.29,0.00,3332.00,3332.00,0.631297520072995,218.861275744,,9.86,24.997669167707908,1.3611681803320652,150.0039999939173,,99.99998986215162,0.0
78,ddr4 12 L RO Miss,2,1000000070412,66.48,13501333,236174.199242,nan,864085059.158043,0,0,13501331,0,0,13501331,0,262144,13239189,0,6,0,722436022234,415462975193,897865599108,298336794594,0,486270740382,179297693341,960037111850,0,236165281852,236165281852,236165281852,0,13501331,13501331,6746915,6746915,0,1,2,2,2,1,2,2,0,864.085251,864.085123,19207.00,9.00,4.50,4.50,864.09,0.00,19207.00,4.50,4.50,0.00,3332.00,3332.00,0.864085059158043,236.17419924200001,,13.5,36.0165038826172,13.280001308093253,142.29275333244897,,99.99998518664786,0.0
79,ddr4 12 L RO Miss,4,1000000022035,93.50,17474997,283782.677826,nan,1118399463.356068,0,0,17474993,0,0,17474993,0,262144,17212853,0,8,0,1222218695055,735140970412,1969442878639,417947686215,0,916546117499,429468392856,2081717987298,0,305672577556,305672577556,305672577556,0,17474993,17474993,16947892,16947892,0,1,3,4,4,2,4,4,0,1118.399783,1118.399527,19207.00,11.65,5.82,5.82,1118.40,0.00,19207.00,5.82,5.82,0.00,3332.00,3332.00,1.1183994633560679,283.78267782600005,,17.47,52.44901199668578,24.576169664617318,122.83049640026027,,99.99997711015344,0.0
80,ddr4 12 L RO Miss,8,1000000027116,161.23,31313179,294674.959134,nan,2004042825.658375,0,0,31313174,0,0,31313174,0,262144,31051035,0,14,0,2165924441389,1002910202976,4430439176105,1027287726429,0,1618194401781,455180163368,4909996862926,0,547730039608,547730039608,547730039608,0,31313174,31313174,31307071,31307071,0,1,7,8,7,4,8,7,0,2004.043338,2004.043082,19207.00,20.87,10.43,10.43,2004.04,0.00,19207.00,10.43,10.43,0.00,3332.00,3332.00,2.004042825658375,294.674959134,,31.3,51.67775076972395,14.53637894925631,156.8334790222311,,99.99998403228238,0.0
81,ddr4 12 L RO Miss,16,1000000006081,242.90,44006189,371730.091250,nan,2816395054.873502,0,0,44006176,0,0,44006176,0,262144,43744045,0,20,0,5654410609243,1675037040534,6096652571886,2756681439537,0,4884654578651,905281009942,8083577980831,0,769756030592,769756030592,769756030592,0,44006176,44006176,43861895,43861895,0,1,16,14,12,9,16,12,0,2816.396015,2816.395247,19207.00,29.33,14.66,14.66,2816.40,0.00,19207.00,14.66,14.66,0.00,3332.00,3332.00,2.8163950548735017,371.73009125,,43.989999999999995,110.99929652262901,20.571680891836635,184.29614089475615,,99.9999704587007,0.0
82,ddr4 12 L RO Miss,32,1000000146494,266.65,47252594,548431.477965,nan,3024164356.978066,0,0,47252562,0,0,47252562,0,262144,46990450,0,22,0,10813709076344,2244962968908,6392608786738,6773572034463,0,9987167261840,1418421154404,12339639006697,0,826541814504,826541814504,826541814504,0,47252562,47252562,46053091,46053091,0,1,28,14,23,14,28,14,0,3024.165317,3024.163525,19207.00,31.49,15.75,15.75,3024.16,0.00,19207.00,15.75,15.75,0.00,3332.00,3332.00,3.024164356978066,548.431477965,,47.239999999999995,211.35715904335515,30.01786769580875,267.94377399547403,,99.99993227885014,0.0
83,ddr4 12 L RO Miss,64,1000000018204,325.50,50780747,792856.112387,nan,3249965188.837634,0,0,50780683,0,0,50780683,0,262144,50518603,0,24,0,20548552740821,2496669427747,7613803035385,10083809289775,0,19660297033785,1608413720711,16809356618124,0,888255707036,888255707036,888255707036,0,50780683,50780683,50505128,50505128,0,1,50,14,46,13,35,14,0,3249.966405,3249.963653,19207.00,33.84,16.92,16.92,3249.97,0.00,19207.00,16.92,16.92,0.00,3332.00,3332.00,3.249965188837634,792.856112387,,50.760000000000005,387.1609413718401,31.67373153903818,332.8247503525583,,99.9998739679824,0.0
84,ddr4 12 L RO Miss,128,1000000228067,403.69,58753521,1233731.771932,nan,3760220198.417860,0,0,58753393,0,0,58753393,0,262144,58491377,0,28,0,51310357030002,2769325074412,8187627696125,10812859632117,0,50282642679646,1741610724056,17972772977886,0,1027714350356,1027714350356,1027714350356,0,58753393,58753393,57707910,57707910,0,1,108,14,80,13,51,14,0,3760.221862,3760.216294,19207.00,39.15,19.58,19.58,3760.22,0.00,19207.00,19.58,19.58,0.00,3332.00,3332.00,3.76022019841786,1233.7317719320001,,58.73,855.8253423703717,29.6427258942475,311.44383807845406,,99.99978214071629,0.0
85,ddr4 12 L RO Miss,256,1000000194398,586.95,66633974,2048846.015950,nan,4264565186.977057,0,0,66633718,0,0,66633718,0,262144,66371830,0,31,0,110972952063662,3069428588312,9416844639628,13799701211477,0,109807395068406,1903871593056,22050988855849,0,1165556995256,1165556995256,1165556995256,0,66633718,66633718,63971645,63971645,0,1,209,14,146,20,64,14,0,4264.567235,4264.557123,19207.00,44.41,22.20,22.20,4264.57,0.00,19207.00,22.20,22.20,0.00,3332.00,3332.00,4.264565186977057,2048.84601595,,66.61,1647.9253801867396,28.572195131840008,344.69941887298666,,99.99961581159785,0.0
86,ddr4 12 L RO Miss,512,1000000077727,955.16,68477134,3861637.535721,nan,4382519659.359895,0,0,68476622,0,0,68476622,0,262144,68214990,0,32,0,236751910874694,3143337818225,9840876437503,15469448864311,0,235554117802670,1945544746201,24112532229790,0,1197793072024,1197793072024,1197793072024,0,68476622,68476622,65121116,65121116,0,1,439,14,279,21,64,14,0,4382.521259,4382.503467,19207.00,45.63,22.82,22.82,4382.52,0.00,19207.00,22.82,22.82,0.00,3332.00,3332.00,4.382519659359895,3861.637535721,,68.45,3439.9202373427534,28.411809598332695,370.2720977599647,,99.99925230515635,0.0
87,ddr4 12 L RO Miss,1024,1000000131113,1635.50,68606288,11317476.726472,nan,4390752512.315266,0,0,68605264,0,0,68605264,0,262144,68344144,0,32,0,746403810140229,3149384281098,10462811020512,17199657259994,0,745203766862341,1949341003210,26462425002618,0,1200043277888,1200043277888,1200043277888,0,68605264,68605264,65338327,65338327,0,1,900,14,281,119,64,14,0,4390.754496,4390.736320,19207.00,45.72,22.86,22.86,4390.75,0.00,19207.00,22.86,22.86,0.00,3332.00,3332.00,4.390752512315266,11317.476726472,,68.58,10862.19516424193,28.413869279914145,405.006161278326,,99.99850742544182,0.0
88,ddr4 12 L WO Hit,1,1000000032777,92.83,21500343,nan,56510.887631,0,1376021842.898132,21238197,262145,0,21238197,0,262145,262145,0,0,0,0,939348667404,399687787004,9830550000,4585702485,0,563264685140,23603804740,9830812145,0,376083982264,376083982264,4585440340,0,21500342,21500342,65537,65537,0,0,1,1,1,1,1,1,0,1376.021907,1376.021843,19207.00,14.33,7.16,7.16,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,1.3760218428981321,,56.510887630999996,14.42,26.19794071833834,1.097833920037179,150.00399995422433,,1.2192596183232984,98.7807357305881
89,ddr4 12 L WO Hit,2,1000000009450,91.15,29944262,nan,43395.378767,0,1916432685.889711,29682115,262145,0,29682115,0,262145,262145,0,0,0,0,1821889770340,1136409765992,17432785728,5792616422,0,1298104774420,612624770072,18639961810,0,523784995920,523784995920,4585440340,0,29944260,29944260,131001,131001,0,0,2,2,2,1,2,2,0,1916.432750,1916.432622,19207.00,19.96,9.98,9.98,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,1.916432685889711,,43.395378767000004,20.05,43.35070475677142,20.458838190424473,142.2886986358883,,0.8754431817354524,99.1245501391886
90,ddr4 12 L WO Hit,4,1000000003924,113.79,38092765,nan,36251.699293,0,2437936886.433536,37830616,262145,0,37830616,0,262145,262145,0,0,0,0,3008199702053,1901989800161,29646002760,6213502748,0,2341881126641,1235671224749,31274065168,0,666318575412,666318575412,4585440340,0,38092761,38092761,255314,255314,0,0,4,4,4,2,4,4,0,2437.936886,2437.936694,19207.00,25.39,12.69,12.69,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,2.437936886433536,,36.251699292999994,25.48,61.47837712895109,32.438478921205004,122.49255884126997,,0.6881753004802881,99.31181419883802
91,ddr4 12 L WO Hit,8,1000000027107,170.19,56656593,nan,27646.828791,0,3626021789.709427,56394440,262145,0,56394440,0,262145,262145,0,0,0,0,6466301552208,2825340901944,37093768362,8600293000,0,5475264567388,1834303917124,41108621022,0,991036984820,991036984820,4585440340,0,56656585,56656585,262097,262097,0,0,8,8,8,1,8,7,0,3626.021790,3626.021342,19207.00,37.76,18.88,18.88,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,3.626021789709427,,27.646828791,37.85,96.63950920070457,32.375829166618495,156.8450650789593,,0.4626910763942336,99.53729480344856
92,ddr4 12 L WO Hit,16,1000000001355,257.40,60450450,nan,26539.637343,0,3868828666.757738,60188289,262145,0,60188289,0,262145,262145,0,0,0,0,11291242420177,3031210140930,36383923247,16191525764,0,10233843428649,1973811149402,47990008671,0,1057398991528,1057398991528,4585440340,0,60450434,60450434,261316,261316,0,0,16,14,16,9,16,12,0,3868.827963,3868.827771,19207.00,40.29,20.14,20.14,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,3.868828666757738,,26.539637343,40.38,169.29313408484379,32.6517283465988,183.64741795756862,,0.43365268579472943,99.5663208462468
93,ddr4 12 L WO Hit,32,1000000114035,241.55,63680111,nan,25702.589564,0,4075526575.247326,63417934,262145,0,63417934,0,262145,262145,0,0,0,0,20765411250484,3180193109520,35462625098,37538918020,0,19651519308616,2066301167652,68416102778,0,1113891941868,1113891941868,4585440340,0,63680079,63680079,255859,255859,0,0,30,14,29,13,25,14,0,4075.526127,4075.524591,19207.00,42.44,21.22,21.22,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,4.075526575247326,,25.702589564,42.53,308.5975962532333,32.448156473738045,267.3976791045068,,0.4116591442499213,99.58829060458139
94,ddr4 12 L WO Hit,64,1000000034254,316.73,75813243,nan,23190.303084,0,4852047321.797971,75551034,262145,0,75551034,0,262145,262145,0,0,0,0,35816943223435,3656818375544,39295819628,51809747374,0,34490819096367,2330694248476,86520126662,0,1326124127068,1326124127068,4585440340,0,75813179,75813179,260590,260590,0,0,50,14,46,13,33,14,0,4852.045210,4852.043290,19207.00,50.52,25.26,25.26,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,4.852047321797971,,23.190303084,50.61000000000001,454.94489943980585,30.74260015499416,332.01629633523925,,0.34577732019721147,99.65413826183377
95,ddr4 12 L WO Hit,128,1000000016511,583.30,99709413,nan,20029.136922,0,6381402262.636668,99447140,262145,0,99447140,0,262145,262145,0,0,0,0,67481761818487,4621045995612,36622399016,48189773197,0,65737647005267,2876931182392,80226731873,0,1744114813220,1744114813220,4585440340,0,99709285,99709285,257544,257544,0,0,108,14,85,13,40,14,0,6381.398743,6381.394135,19207.00,66.45,33.22,33.22,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,6.381402262636668,,20.029136922000003,66.54,659.2931340874322,28.85319238215378,311.5068954159289,,0.2629089793157242,99.73696264764892
96,ddr4 12 L WO Hit,256,1000000003154,909.52,115448316,nan,18661.874625,0,7388691944.696066,115185915,262145,0,115185915,0,262145,262145,0,0,0,0,129792799131549,5307345353358,37104224585,54011067385,0,127773381666029,3287927887838,86529851630,0,2019417465520,2019417465520,4585440340,0,115448060,115448060,251878,251878,0,0,209,14,147,13,64,14,0,7388.684329,7388.675817,19207.00,76.94,38.47,38.47,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,7.388691944696066,,18.661874625,77.03,1106.7607516837356,28.479715361505427,343.53874347898585,,0.22706697601375148,99.77271127973837
97,ddr4 12 L WO Hit,512,1000000067766,1505.55,121917139,nan,18202.221976,0,7802696303.242483,121654482,262145,0,121654482,0,262145,262145,0,0,0,0,257329275812174,5600044764126,37670562763,60925043279,0,255196710172690,3467479124642,94010165702,0,2132565639484,2132565639484,4585440340,0,121916627,121916627,249324,249324,0,0,439,14,272,13,64,14,0,7802.680751,7802.663599,19207.00,81.25,40.62,40.62,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,7.802696303242483,,18.202221976,81.34,2093.206779520647,28.441396468768776,377.06023367987035,,0.21501898924973953,99.78456105338888
98,ddr4 12 L WO Hit,1024,1000000018814,2512.65,127336918,nan,17853.129875,0,8149562534.674131,127073749,262145,0,127073749,0,262145,262145,0,0,0,0,769177940796015,5848286861878,39775215331,65333212249,0,766950581338167,3620927404030,100522987240,0,2227359457848,2227359457848,4585440340,0,127335894,127335894,249632,249632,0,0,900,14,272,25,64,14,0,8149.514215,8149.497063,19207.00,84.86,42.43,42.43,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,8.149562534674132,,17.853129875,84.95,6023.050981510108,28.43603080235962,402.6847008396359,,0.20586724110913382,99.79332859304793
99,ddr4 12 L WO Miss,1,1000000272237,11.95,1574906,nan,644958.645295,0,100793892.560173,0,1574905,0,0,0,1574905,262144,1312762,1312761,0,0,67165904408,31316525780,886087865412,27549813165,22962815412,39617666148,3768287520,886089440317,0,27548238260,27548238260,27548238260,22962815412,1574905,1574905,1378297,1378297,1312761,0,1,1,1,1,1,1,1,100.793957,100.793893,19207.00,1.05,0.52,0.52,100.79,84.02,19207.00,0.96,0.52,0.44,3332.00,3332.00,0.100793892560173,,644.958645295,2.01,25.155591066127798,2.3927078268213005,642.8871573521527,0.0,99.99993650414692,0.0
100,ddr4 12 L WO Miss,2,1000000138249,16.49,2176503,nan,469453.079183,0,139296108.742452,0,2176501,0,0,0,2176501,262144,1914359,1914358,1,0,94235219728,45211968128,1837940282135,40600987013,33864086966,56163864236,7140612636,1840469913656,378136830,38071355492,38071355492,38071355492,33485950136,2176501,2176501,2045357,2045357,1914358,1,2,2,2,1,2,2,1,139.296173,139.296045,19207.00,1.45,0.73,0.73,139.30,122.52,19207.00,1.36,0.73,0.64,3332.00,3332.00,0.139296108742452,,469.453079183,2.81,25.804658135236327,3.280776179749056,899.8282029278996,0.19752670608109874,99.99990810947654,0.0
101,ddr4 12 L WO Miss,4,1000000054759,19.60,4072475,nan,255222.201025,0,260638321.727706,0,4072472,0,0,0,4072472,262144,3810331,3810330,1,0,220986191403,99222417031,3137327570634,87695070704,835287076900,149750511179,27986736807,3153786961114,768636784540,71235680224,71235680224,71235680224,66650292360,4072472,4072472,3797759,3797759,3810330,1,3,4,4,2,4,4,3,260.638386,260.638194,19207.00,2.71,1.36,1.36,260.64,243.86,19207.00,2.63,1.36,1.27,3332.00,3332.00,0.260638321727706,,255.22220102499998,5.34,36.77140350602779,6.872174150491397,830.4336744680219,201.72446600163238,99.99992633472274,0.0
102,ddr4 12 L WO Miss,8,1000000272746,56.81,10229764,nan,107169.179081,0,654704653.431925,0,10229759,0,0,0,10229759,262144,9967620,9967619,4,0,746561022252,295447371662,5562263293924,253580957785,2129609886568,567622077824,116508427234,5636905307281,1955256312512,178938944428,178938944428,178938944428,174353574056,10229759,10229759,9412583,9412583,9967618,1,8,8,8,7,8,8,7,654.704717,654.704397,19207.00,6.82,3.41,3.41,654.70,637.93,19207.00,6.73,3.41,3.32,3332.00,3332.00,0.6547046534319251,,107.169179081,13.55,55.48733629247766,11.389166375669262,598.8691209714698,196.1608392809596,99.99995112301711,0.0
103,ddr4 12 L WO Miss,16,1000000055370,144.54,25240446,nan,49105.266761,0,1615388390.555945,0,25240435,0,0,0,25240435,262144,24978302,24978301,12,0,3183929811381,991981282713,9583927691423,1010166575190,5460529033928,2742424122361,550475593693,10152588577593,5023608645312,441505689020,441505689020,441505689020,436920388616,25240435,25240435,24011190,24011190,24978298,1,16,14,16,12,16,14,22,1615.388391,1615.387751,19207.00,16.82,8.41,8.41,1615.39,1598.61,19207.00,16.73,8.41,8.32,3332.00,3332.00,1.615388390555945,,49.105266760999996,33.55,108.65201500532775,21.809275224178982,422.827380800077,201.11893313595667,99.99995641915362,0.0
104,ddr4 12 L WO Miss,32,1000000145945,215.20,29749247,nan,43185.585796,0,1903951466.127803,0,29749220,0,0,0,29749220,262144,29487103,29487102,14,0,4236566051990,1250245692033,23533212879841,1268706215303,18416091769347,3716192695750,729872335793,24281545738904,17900303678527,520373356240,520373356240,520373356240,515788090820,29749220,29749220,29742215,29742215,29487085,1,28,14,27,14,32,14,37,1903.951466,1903.949802,19207.00,19.83,9.91,9.91,1903.95,1887.17,19207.00,19.74,9.91,9.83,3332.00,3332.00,1.9039514661278032,,43.185585796,39.56999999999999,124.91731533633487,24.53416714095361,816.4000475050026,607.0557221416427,99.9999092414003,0.0
105,ddr4 12 L WO Miss,64,1000000183951,206.38,29874487,nan,42979.968848,0,1911966752.291804,0,29874426,0,0,0,29874426,262144,29612343,29612342,14,0,4112854700636,1213658084159,55416956544766,1245852529597,44860542187485,3590291241044,691094624567,56140245614771,44342563958329,522563459592,522563459592,522563459592,517978229156,29874426,29874426,29872870,29872870,29612293,1,50,14,45,13,64,14,61,1911.966752,1911.962912,19207.00,19.91,9.95,9.95,1911.96,1895.19,19207.00,19.82,9.95,9.87,3332.00,3332.00,1.911966752291804,,42.979968848,39.730000000000004,120.17942172492285,23.133318931952033,1879.3053903013335,1497.4377012387727,99.99979581239337,0.0
106,ddr4 12 L WO Miss,128,1000000208456,217.98,29896359,nan,42934.101826,0,1913366513.147270,0,29896236,0,0,0,29896236,262144,29634215,29634214,14,0,4105615050480,1195011882496,119260965346114,1268286510453,98710987696072,3582670090368,672066922384,120006306896455,98192627791476,522944960112,522944960112,522944960112,518359904596,29896236,29896236,29891632,29891632,29634113,1,108,14,78,64,64,14,115,1913.366513,1913.358705,19207.00,19.92,9.96,9.96,1913.36,1896.58,19207.00,19.84,9.96,9.87,3332.00,3332.00,1.91336651314727,,42.934101825999996,39.760000000000005,119.83682796616938,22.47998451657928,4014.712441811642,3313.4998098804576,99.9995885786627,0.0
107,ddr4 12 L WO Miss,256,1000000134485,276.46,29906603,nan,42742.680814,0,1914022270.592715,0,29906353,0,0,0,29906353,262144,29644459,29644458,14,0,4023626942911,1128932609836,158882611580821,1214505031994,117461931794157,3500505016235,605810683160,159573994686139,116943392998877,523121926676,523121926676,523121926676,518538795280,29906353,29906353,29896073,29896073,29644340,1,209,14,142,113,64,14,136,1914.022271,1914.006335,19207.00,19.93,9.97,9.97,1914.01,1897.24,19207.00,19.84,9.97,9.88,3332.00,3332.00,1.914022270592715,,42.742680813999996,39.769999999999996,117.0488764121456,20.256922773565872,5337.6239309470175,3944.8809789280854,99.99916406420348,0.0
108,ddr4 12 L WO Miss,512,1000000477863,361.08,29451678,nan,43495.802898,0,1884906427.272960,0,29451174,0,0,0,29451174,262144,29189534,29189533,14,0,5779989137103,1202485350173,256954221914977,1881844677818,121007082987592,5264829201495,687325414565,258320906657187,120496501862856,515159935608,515159935608,515159935608,510581124736,29451174,29451174,29438342,29438342,29189408,1,439,14,272,208,64,14,140,1884.906427,1884.874235,19207.00,19.63,9.81,9.81,1884.89,1868.12,19207.00,19.54,9.81,9.73,3332.00,3332.00,1.8849064272729599,,43.495802898,39.17,178.76466321834914,23.337793412412015,8774.981507354829,4128.089951767984,99.99828872229284,0.0
109,ddr4 12 L WO Miss,1024,1000000008260,703.35,29487490,nan,43464.019921,0,1887199280.411734,0,29486474,0,0,0,29486474,262144,29225346,29225345,14,0,7584838043967,1205342119371,767240463247801,1816476498452,121022792143688,7069060640759,689564716163,768541162343045,120511584385544,515777403208,515777403208,515777403208,511207758144,29486474,29486474,29473957,29473957,29225232,1,900,14,281,720,64,14,140,1887.199280,1887.134320,19207.00,19.65,9.83,9.83,1887.15,1870.41,19207.00,19.56,9.83,9.74,3332.00,3332.00,1.8871992804117341,,43.464019921,39.209999999999994,239.73909667052766,23.38579771060453,26075.26238648733,4123.545858782028,99.99655447106552,0.0
110,ddr4 12 L R67 Hit,1,1000000015743,108.88,34584561,77357.857333,38916.653140,1468387432.883177,745024244.271083,34322415,262145,22769635,11552780,173921,88224,262145,0,0,0,0,969358708210,220498682576,9830550000,4585702485,0,364405584690,13832014476,9830812145,0,604953123520,206666668100,4585440340,0,34584560,11814925,65537,65537,0,0,1,1,1,1,1,1,0,2213.411869,756.155188,19207.00,15.46,11.52,3.94,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,2.21341167715426,77.35785733300001,38.91665314,15.55,10.536655221000354,1.1707238493684895,150.00399995422433,,0.7579827310804957,99.24201437745587
111,ddr4 12 L R67 Hit,2,1000000006686,150.60,52304863,76448.899023,29120.831701,2220558193.153348,1126952824.465194,52042716,262145,34522302,17520414,173921,88224,262145,0,0,0,0,1929419438318,475541723752,17432785728,5792623914,0,1014502809706,164489201724,18639969302,0,914916628612,311052522028,4585440340,0,52304861,17782559,131001,131001,0,0,2,2,2,1,2,2,0,3347.511210,1138.083768,19207.00,23.35,17.43,5.93,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,3.3475110176185416,76.44889902300001,29.120831701,23.44,19.39595651933766,9.25002985925704,142.2887558262914,,0.5011866678629863,99.49880950840078
112,ddr4 12 L R67 Hit,4,1000000026230,211.15,63496792,94693.727218,25747.918686,2695669177.292598,1368125212.114076,63234643,262145,41945911,21288732,173921,88224,262145,0,0,0,0,3706947259420,880106670526,29646002760,6213511076,0,2596261443724,503138730042,31274073496,0,1110685815696,376967940484,4585440340,0,63496788,21550877,255314,255314,0,0,4,4,4,2,4,4,0,4063.794581,1379.256092,19207.00,28.34,21.16,7.18,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,4.063794389406674,94.693727218,25.747918686000002,28.43,40.8880752160881,23.346554761646125,122.49259145992778,,0.41284762858570867,99.58714607188345
113,ddr4 12 L R67 Hit,8,1000000009867,253.71,76918989,123277.940219,22971.653765,3265460127.779705,1657354799.646880,76656836,262145,50848894,25807942,173921,88224,262145,0,0,0,0,6900607567094,1275177371766,37093768362,8600316338,0,5555140751442,819159409962,41108644360,0,1345466815652,456017961804,4585440340,0,76918981,26070087,262097,262097,0,0,8,8,8,1,8,7,0,4922.815183,1668.485552,19207.00,34.32,25.63,8.69,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,4.922814927426585,123.277940219,22.971653765,34.410000000000004,72.22067530304386,31.42142985414663,156.84515412232875,,0.3408066114857542,99.65918298796153
114,ddr4 12 L R67 Hit,16,1000000009703,329.98,93750864,171003.685506,20661.974575,3980171161.380399,2019883116.401074,93488703,262145,62016256,31472447,173921,88224,262145,0,0,0,0,13104468210881,1615857856052,36383923247,16190029646,0,11464578377665,1060756372788,47988512553,0,1639889833216,555101483264,4585440340,0,93750848,31734592,261316,261316,0,0,16,14,15,9,16,12,0,6000.054598,2031.013868,19207.00,41.81,31.24,10.57,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,6.000054277781473,171.003685506,20.661974575,41.900000000000006,122.2877298951472,33.42587082222453,183.6416926365014,,0.27961875636687467,99.72036417712374
115,ddr4 12 L R67 Hit,32,1000000038081,402.09,105625874,254530.100598,19462.558577,4484338773.231895,2275715945.338461,105363697,262145,69893876,35469821,173921,88224,262145,0,0,0,0,23700846322548,1759191142980,35462192574,37537907456,0,21853239094284,1134167593708,68414659690,0,1847607228264,625023549272,4585440340,0,105625842,35731966,255859,255859,0,0,32,14,26,13,25,14,0,6760.055039,2286.845737,19207.00,47.10,35.20,11.91,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,6.760054718570356,254.530100598,19.462558577,47.190000000000005,206.8929220397031,31.74097931549582,267.39203893550746,,0.24818256178405682,99.75178714260863
116,ddr4 12 L R67 Hit,64,1000000004344,477.79,127420157,339811.828560,17834.770803,5409844456.499636,2745043700.075530,127157948,262145,84354904,42803044,173921,88224,262145,0,0,0,0,39661282728427,2021602982598,39296454400,51808716038,0,37432450461671,1268306696610,86519730098,0,2228832266756,753296285988,4585440340,0,127420093,43065189,260590,260590,0,0,50,14,45,13,33,14,0,8154.888285,2756.172084,19207.00,56.81,42.46,14.35,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,8.154888156575165,339.81182856,17.834770802999998,56.900000000000006,293.77195998178246,29.450856389136014,332.0147745423846,,0.2057327554540684,99.79421701701403
117,ddr4 12 L R67 Hit,128,1000000002417,773.07,164461046,461503.809172,16056.392269,6982360111.123636,3543144247.436221,164198773,262145,108925459,55273314,173921,88224,262145,0,0,0,0,71530205919523,2555875447944,36623297154,48190216157,0,68653455541867,1584449199116,80228072971,0,2876750377656,971426248828,4585440340,0,164460918,55535459,257544,257544,0,0,108,14,78,13,40,14,0,10525.503207,3554.269367,19207.00,73.31,54.80,18.51,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,10.525504358559857,461.503809172,16.056392269,73.4,417.4454112062478,28.53040611613564,311.5121026737179,,0.15939640807100303,99.84052576194851
118,ddr4 12 L R67 Hit,256,1000000004674,1200.42,187801304,746406.387541,15299.493475,7973039834.734012,4046237677.087885,187538903,262145,124404830,63134073,173921,88224,262145,0,0,0,0,135336286192631,2911763427120,37104643093,54010711529,0,132051270261015,1802836781864,86529914282,0,3285015931616,1108926645256,4585440340,0,187801048,63396218,251877,251877,0,0,209,14,142,13,64,14,0,12019.275720,4057.357933,19207.00,83.70,62.58,21.12,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,12.019277511821896,746.4063875410001,15.299493474999998,83.79,703.1444801150152,28.437607774394365,343.5403561341448,,0.13958635771772918,99.86027732799981
