,run,orbSize,simTicks,hostSeconds,numPackets,avgReadLatency,avgWriteLatency,readBW,writeBW,numHits,numMisses,numRdHits,numWrHits,numRdMisses,numWrMisses,numColdMisses,numHotMisses,numWrBacks,totNumConf,totNumConfBufFull,timeInDramRead,timeInDramWrite,timeInWaitingToIssueNvmRead,timeInNvmRead,timeInNvmWrite,drRdQingTime,drWrQingTime,nvmRdQingTime,nvmWrQingTime,drRdDevTime,drWrDevTime,nvRdDevTime,nvWrDevTime,totNumPktsDrRd,totNumPktsDrWr,totNumPktsNvmRdWait,totNumPktsNvmRd,totNumPktsNvmWr,maxNumConf,maxDrRdEvQ,maxDrRdRespEvQ,maxDrWrEvQ,maxNvRdIssEvQ,maxNvRdEvQ,maxNvRdRespEvQ,maxNvWrEvQ,dram.avgRdBW,dram.avgWrBW,dram.peakBW,dram.busUtil,dram.busUtilRead,dram.busUtilWrite,nvm.avgRdBW,nvm.avgWrBW,nvm.peakBW,nvm.busUtil,nvm.busUtilRead,nvm.busUtilWrite,dram.avgBusLat,nvm.avgBusLat,totBW,ARL,AWL,totBusUtil%,avgDramRdQingTime,avgDramWrQingTime,avgNvmRdQingTime,avgNvmWrQingTime,missRatio,HitRatio
56,ddr4 12 R R67 Miss,2,1000000462414,27.88,5428723,567120.722988,194097.208618,230447125.438023,116990921.901760,646652,4782068,429460,217192,3171277,1610791,262144,4519926,1651779,38,0,235461480329,102130139411,1634979779288,99690028301,30195848464,140502310089,14683083491,1651021874133,1302930196,94959170240,87447055920,83647933456,28892918268,5428720,4999260,4781999,4781999,1651779,1,2,2,2,1,2,2,1,347.438047,319.952492,19207.00,3.47,1.81,1.67,306.05,105.71,19207.00,2.14,1.59,0.55,3332.00,3332.00,0.347438047339783,567.120722988,194.097208618,5.61,25.881296159868256,2.937051381804507,345.2576786680633,0.7888041899067612,88.08826679865597,11.911677939729104
57,ddr4 12 R R67 Miss,4,1000000034994,66.91,12024010,394404.315047,92696.622709,510440622.137641,259095798.933202,1469350,10554647,975627,493723,7000003,3554644,262144,10292507,3770681,145,0,657552358168,276479979430,2591160119191,257036743583,704941581849,447228602644,83221891390,2663574977450,638984829797,210323755524,193258088040,184621885324,65956752052,12023997,11048370,10554462,10554462,3770681,1,4,4,4,3,4,4,4,769.536037,707.095655,19207.00,7.69,4.01,3.68,675.50,241.32,19207.00,4.77,3.52,1.26,3332.00,3332.00,0.769536421070843,394.404315047,92.696622709,12.46,37.19467017864359,7.532504015524462,252.364827070295,169.46138636416075,87.77975899886977,12.220132884121021
58,ddr4 12 R R67 Miss,8,1000000209091,119.79,19251695,418024.753222,61411.026858,817276501.114839,414831401.262487,2371656,16880017,1573866,797790,11196072,5683945,262144,16617878,6092838,492,0,1451924584373,547578868085,4722199041777,499468423177,1634218038369,1115174320257,238358668041,4926402207590,1527642151057,336750264116,309220200044,295265257364,106575887312,19251673,17677807,16879743,16879743,6092836,1,8,8,8,7,8,8,9,1232.107134,1131.379411,19207.00,12.31,6.41,5.89,1080.32,389.94,19207.00,7.65,5.62,2.03,3332.00,3332.00,1.232107902377326,418.024753222,61.411026858,19.96,57.926099215221456,13.483497587738116,291.852915508844,250.72760058813336,87.68067954535951,12.319206178988395
59,ddr4 12 R R67 Miss,16,1000000018505,190.89,27390528,538427.348345,45954.606391,1162759850.483129,590233333.077732,3387937,24002517,2248135,1139802,15919941,8082576,262144,23740388,8707411,1437,0,3240152497757,966649321517,9024353497003,951014541948,3997875517174,2761038676389,526859877569,9555516011587,3845565518946,479113821368,439789443948,419852027364,152309998228,27390454,25142319,24002211,24002211,8707409,2,16,14,15,13,16,11,16,1752.989600,1609.108386,19207.00,17.50,9.13,8.38,1536.16,557.27,19207.00,10.90,8.00,2.90,3332.00,3332.00,1.7529931835608612,538.4273483449999,45.954606391,28.4,100.80295406527398,20.955102732130637,398.109824615199,441.64291799615705,87.63072037165549,12.369009461957067
60,ddr4 12 R R67 Miss,32,1000000001494,295.47,36859193,733227.983013,36802.034570,1564773821.662228,794213438.813445,4572505,32286482,3034221,1538284,21415240,10871242,262144,32024370,11748524,4189,0,5131521233816,1374513827204,18674921390717,1495540211144,12596003852524,4486783833212,782851020332,19605706458717,12390499020556,644737400604,591662806872,564755143144,205504831968,36858987,33824766,32286241,32286241,11748504,3,30,14,27,13,32,14,28,2358.977020,2164.785021,19207.00,23.55,12.28,11.27,2066.34,751.90,19207.00,14.67,10.76,3.91,3332.00,3332.00,2.3589872604756734,733.227983013,36.802034570000004,38.22,121.72835442308818,23.14431444498389,607.2464880230871,1054.6448314233028,87.59410983306118,12.405331283297494
61,ddr4 12 R R67 Miss,64,1000000014986,393.59,43267824,1003669.806961,33142.719562,1836898340.472241,932241010.029436,5371580,37895742,3564450,1807130,25136769,12758973,262144,37633659,13805944,9992,0,5318945568998,1614465484191,34472789695364,1768695953097,24068600229302,4562113572574,919982847167,35578613329397,23827107059170,756831996424,694482637024,662872319064,241493170132,43267322,39702872,37895549,37895549,13805921,3,45,14,43,14,59,14,44,2769.112407,2540.983770,19207.00,27.65,14.42,13.23,2425.33,883.58,19207.00,17.23,12.63,4.60,3332.00,3332.00,2.769139350501677,1003.669806961,33.142719561999996,44.879999999999995,105.44016504127526,23.17169516520115,938.8599523758583,1725.8614661904846,87.5841179348423,12.414721849658997
62,ddr4 12 R R67 Miss,128,1000000315375,507.34,47654324,1583455.572898,31830.063564,2023145921.950355,1026726716.196062,5919128,41734059,3927649,1991479,27683309,14050750,262144,41472041,15214479,22229,0,6185536643040,1873074780558,64986533028754,2298055602445,46145353148292,5351987096036,1108227669862,66554576471171,45879222286256,833549547004,764847110696,730012160028,266130862036,47653187,43725538,41734007,41734007,15214433,3,90,14,77,28,64,14,67,3049.811070,2798.433549,19207.00,30.45,15.88,14.57,2670.98,973.72,19207.00,18.98,13.91,5.07,3332.00,3332.00,3.049872638146417,1583.455572898,31.830063564,49.43,112.31121007784851,25.345089404320195,1594.7324797058427,3015.5065447562847,87.57664676976637,12.420967297741964
63,ddr4 12 R R67 Miss,256,1000000067300,626.11,47903043,2911815.816143,33944.312788,2033686519.132897,1032102330.539513,5949060,41951698,3947552,2001508,27827386,14124312,262144,41689809,15294613,44980,0,6497375591185,1967107977678,128469388135394,2422661463822,91224213916285,5659495532249,1198278498326,130158230497800,90956682137461,837880058936,768829479352,733819101416,267531778824,47900758,43953206,41951697,41951697,15294522,4,192,14,142,97,64,14,116,3065.664626,2813.004995,19207.00,30.61,15.96,14.65,2684.92,978.85,19207.00,19.08,13.98,5.10,3332.00,3332.00,3.06578884967241,2911.815816143,33.944312788000005,49.69,118.15043787509585,27.2625960055337,3102.573669375043,5947.0104484115955,87.57626942405308,12.418960524073595
64,ddr4 12 R R67 Miss,512,1000000077757,836.77,47679077,5589781.921199,43232.777546,2024187810.605228,1027261552.123224,5919212,41755345,3927676,1991536,27697387,14057958,262144,41493710,15222442,89123,0,7087237606449,1954638287479,254396283167154,2504346758654,120556068213676,6253314255405,1189417845027,256170245431068,120289799392236,833923351044,765220442452,730384494740,266268821440,47674557,43746881,41755344,41755344,15222320,7,422,14,271,208,64,14,136,3051.204051,2799.800166,19207.00,30.46,15.89,14.58,2672.36,974.23,19207.00,18.99,13.91,5.07,3332.00,3332.00,3.0514493627284516,5589.781921199001,43.232777545999994,49.45,131.1666987362882,27.18863191702741,6135.028978112789,7902.198836460934,87.57582492630888,12.414695024402423
65,ddr4 12 R R67 Miss,1024,1000000072819,1223.21,47688161,16358848.758427,77633.112166,2024551852.574159,1027457333.181584,5916364,41762797,3925755,1990609,27702359,14060438,262144,41501674,15225326,177874,0,7804689544204,1954515300624,765673922156651,2501070554625,120558312716235,6970685659992,1189180722872,767444477866152,120291993517835,834003884212,765334577752,730514845124,266319198400,47679161,43753406,41762795,41762795,15225200,12,878,14,271,720,64,14,136,3051.531554,2800.217780,19207.00,30.47,15.89,14.58,2672.84,974.41,19207.00,18.99,13.92,5.07,3332.00,3332.00,3.052009185755743,16358.848758427,77.633112166,49.459999999999994,146.1998389609247,27.179157729389114,18376.271939321876,7900.848167369559,87.57476934369518,12.406358047650443
